,Survived,Pclass,Name,Sex,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
88,0,3,Mr. Francesco Celotti,male,0,0,8.05
89,0,3,Mr. Emil Christmann,male,0,0,8.05
90,0,3,Mr. Paul Edvin Andreasson,male,0,0,7.8542
91,0,1,Mr. Herbert Fuller Chaffee,male,1,0,61.175
92,0,3,Mr. Bertram Frank Dean,male,1,2,20.575
93,0,3,Mr. Daniel Coxon,male,0,0,7.25
94,0,3,Mr. Charles Joseph Shorney,male,0,0,8.05
95,0,1,Mr. George B Goldschmidt,male,0,0,34.6542
96,1,1,Mr. William Bertram Greenfield,male,0,1,63.3583
97,1,2,Mrs. John T (Ada Julia Bone) Doling,female,0,1,23.0
98,0,2,Mr. Sinai Kantor,male,1,0,26.0
99,0,3,Miss. Matilda Petranec,female,0,0,7.8958
100,0,3,Mr. Pastcho Petroff,male,0,0,7.8958
101,0,1,Mr. Richard Frasar White,male,0,1,77.2875
102,0,3,Mr. Gustaf Joel Johansson,male,0,0,8.6542
103,0,3,Mr. Anders Vilhelm Gustafsson,male,2,0,7.925
104,0,3,Mr. Stoytcho Mionoff,male,0,0,7.8958
105,1,3,Miss. Anna Kristine Salkjelsvik,female,0,0,7.65
106,1,3,Mr. Albert Johan Moss,male,0,0,7.775
107,0,3,Mr. Tido Rekic,male,0,0,7.8958
108,1,3,Miss. Bertha Moran,female,1,0,24.15
109,0,1,Mr. Walter Chamberlain Porter,male,0,0,52.0
110,0,3,Miss. Hileni Zabour,female,1,0,14.4542
111,0,3,Mr. David John Barton,male,0,0,8.05
112,0,3,Miss. Katriina Jussila,female,1,0,9.825
113,0,3,Miss. Malake Attalah,female,0,0,14.4583
114,0,3,Mr. Edvard Pekoniemi,male,0,0,7.925
115,0,3,Mr. Patrick Connors,male,0,0,7.75
116,0,2,Mr. William John Robert Turpin,male,1,0,21.0
117,0,1,Mr. Quigg Edmond Baxter,male,0,1,247.5208
118,0,3,Miss. Ellis Anna Maria Andersson,female,4,2,31.275
119,0,2,Mr. Stanley George Hickman,male,2,0,73.5
120,0,3,Mr. Leonard Charles Moore,male,0,0,8.05
121,0,2,Mr. Nicholas Nasser,male,1,0,30.0708
122,1,2,Miss. Susan Webber,female,0,0,13.0
123,0,1,Mr. Percival Wayland White,male,0,1,77.2875
124,1,3,Master. Elias Nicola-Yarred,male,1,0,11.2417
125,0,3,Mr. Martin McMahon,male,0,0,7.75
126,1,3,Mr. Fridtjof Arne Madsen,male,0,0,7.1417
127,1,3,Miss. Anna Peter,female,1,1,22.3583
128,0,3,Mr. Johan Ekstrom,male,0,0,6.975
129,0,3,Mr. Jozef Drazenoic,male,0,0,7.8958
130,0,3,Mr. Domingos Fernandeo Coelho,male,0,0,7.05
131,0,3,Mrs. Alexander A (Grace Charity Laury) Robins,female,1,0,14.5
132,1,2,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,1,0,26.0
133,0,2,Mr. Samuel James Hayden Sobey,male,0,0,13.0
134,0,2,Mr. Emile Richard,male,0,0,15.0458
135,1,1,Miss. Helen Monypeny Newsom,female,0,2,26.2833
136,0,1,Mr. Jacques Heath Futrelle,male,1,0,53.1
137,0,3,Mr. Olaf Elon Osen,male,0,0,9.2167
138,0,1,Mr. Victor Giglio,male,0,0,79.2
139,0,3,Mrs. Joseph (Sultana) Boulos,female,0,2,15.2458
140,1,3,Miss. Anna Sofia Nysten,female,0,0,7.75
141,1,3,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,1,0,15.85
142,0,3,Mr. Jeremiah Burke,male,0,0,6.75
143,0,2,Mr. Edgardo Samuel Andrew,male,0,0,11.5
144,0,2,Mr. Joseph Charles Nicholls,male,1,1,36.75
145,1,3,Mr. August Edvard Andersson,male,0,0,7.7958
146,0,3,Miss. Robina Maggie Ford,female,2,2,34.375
147,0,2,Mr. Michel Navratil,male,0,2,26.0
148,0,2,Rev. Thomas Roussel Davids Byles,male,0,0,13.0
149,0,2,Rev. Robert James Bateman,male,0,0,12.525
150,1,1,Mrs. Thomas (Edith Wearne) Pears,female,1,0,66.6
151,0,3,Mr. Alfonzo Meo,male,0,0,8.05
152,0,3,Mr. Austin Blyler van Billiard,male,0,2,14.5
153,0,3,Mr. Ole Martin Olsen,male,0,0,7.3125
154,0,1,Mr. Charles Duane Williams,male,0,1,61.3792
155,1,3,Miss. Katherine Gilnagh,female,0,0,7.7333
156,0,3,Mr. Harry Corn,male,0,0,8.05
157,0,3,Mr. Mile Smiljanic,male,0,0,8.6625
158,0,3,Master. Thomas Henry Sage,male,8,2,69.55
159,0,3,Mr. John Hatfield Cribb,male,0,1,16.1
160,1,2,Mrs. James (Elizabeth Inglis Milne) Watt,female,0,0,15.75
161,0,3,Mr. John Viktor Bengtsson,male,0,0,7.775
162,0,3,Mr. Jovo Calic,male,0,0,8.6625
163,0,3,Master. Eino Viljami Panula,male,4,1,39.6875
164,1,3,Master. Frank John William Goldsmith,male,0,2,20.525
165,1,1,Mrs. (Edith Martha Bowerman) Chibnall,female,0,1,55.0
166,0,3,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,1,4,27.9
167,0,1,Mr. John D Baumann,male,0,0,25.925
168,0,3,Mr. Lee Ling,male,0,0,56.4958
169,0,1,Mr. Wyckoff Van der hoef,male,0,0,33.5
170,0,3,Master. Arthur Rice,male,4,1,29.125
171,1,3,Miss. Eleanor Ileen Johnson,female,1,1,11.1333
172,0,3,Mr. Antti Wilhelm Sivola,male,0,0,7.925
173,0,1,Mr. James Clinch Smith,male,0,0,30.6958
174,0,3,Mr. Klas Albin Klasen,male,1,1,7.8542
175,0,3,Master. Henry Forbes Lefebre,male,3,1,25.4667
176,0,1,Miss. Ann Elizabeth Isham,female,0,0,28.7125
177,0,2,Mr. Reginald Hale,male,0,0,13.0
178,0,3,Mr. Lionel Leonard,male,0,0,0.0
179,0,3,Miss. Constance Gladys Sage,female,8,2,69.55
180,0,2,Mr. Rene Pernot,male,0,0,15.05
181,0,3,Master. Clarence Gustaf Hugo Asplund,male,4,2,31.3875
182,1,2,Master. Richard F Becker,male,2,1,39.0
183,1,3,Miss. Luise Gretchen Kink-Heilmann,female,0,2,22.025
184,0,1,Mr. Hugh Roscoe Rood,male,0,0,50.0
185,1,3,Mrs. Thomas (Johanna Godfrey) O'Brien,female,1,0,15.5
186,1,1,Mr. Charles Hallace Romaine,male,0,0,26.55
187,0,3,Mr. John Bourke,male,1,1,15.5
188,0,3,Mr. Stjepan Turcin,male,0,0,7.8958
189,1,2,Mrs. (Rosa) Pinsky,female,0,0,13.0
190,0,2,Mr. William Carbines,male,0,0,13.0
191,1,3,Miss. Carla Christine Nielsine Andersen-Jensen,female,1,0,7.8542
192,1,2,Master. Michel M Navratil,male,1,1,26.0
193,1,1,Mrs. James Joseph (Margaret Tobin) Brown,female,0,0,27.7208
194,1,1,Miss. Elise Lurette,female,0,0,146.5208
195,0,3,Mr. Robert Mernagh,male,0,0,7.75
196,0,3,Mr. Karl Siegwart Andreas Olsen,male,0,1,8.4042
197,1,3,Miss. Margaret Madigan,female,0,0,7.75
198,0,2,Miss. Henriette Yrois,female,0,0,13.0
199,0,3,Mr. Nestor Cyriel Vande Walle,male,0,0,9.5
200,0,3,Mr. Frederick Sage,male,8,2,69.55
201,0,3,Mr. Jakob Alfred Johanson,male,0,0,6.4958
202,0,3,Mr. Gerious Youseff,male,0,0,7.225
203,1,3,Mr. Gurshon Cohen,male,0,0,8.05
204,0,3,Miss. Telma Matilda Strom,female,0,1,10.4625
205,0,3,Mr. Karl Alfred Backstrom,male,1,0,15.85
206,1,3,Mr. Nassef Cassem Albimona,male,0,0,18.7875
207,1,3,Miss. Helen Carr,female,0,0,7.75
208,1,1,Mr. Henry Blank,male,0,0,31.0
209,0,3,Mr. Ahmed Ali,male,0,0,7.05
210,1,2,Miss. Clear Annie Cameron,female,0,0,21.0
211,0,3,Mr. John Henry Perkin,male,0,0,7.25
212,0,2,Mr. Hans Kristensen Givard,male,0,0,13.0
213,0,3,Mr. Philip Kiernan,male,1,0,7.75
214,1,1,Miss. Madeleine Newell,female,1,0,113.275
215,1,3,Miss. Eliina Honkanen,female,0,0,7.925
216,0,2,Mr. Sidney Samuel Jacobsohn,male,1,0,27.0
217,1,1,Miss. Albina Bazzani,female,0,0,76.2917
218,0,2,Mr. Walter Harris,male,0,0,10.5
219,1,3,Mr. Victor Francis Sunderland,male,0,0,8.05
220,0,2,Mr. James H Bracken,male,0,0,13.0
221,0,3,Mr. George Henry Green,male,0,0,8.05
222,0,3,Mr. Christo Nenkoff,male,0,0,7.8958
223,1,1,Mr. Frederick Maxfield Hoyt,male,1,0,90.0
224,0,3,Mr. Karl Ivar Sven Berglund,male,0,0,9.35
225,1,2,Mr. William John Mellors,male,0,0,10.5
226,0,3,Mr. John Hall Lovell,male,0,0,7.25
227,0,2,Mr. Arne Jonas Fahlstrom,male,0,0,13.0
228,0,3,Miss. Mathilde Lefebre,female,3,1,25.4667
229,1,1,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,1,0,83.475
230,0,3,Mr. Bengt Edvin Larsson,male,0,0,7.775
231,0,2,Mr. Ernst Adolf Sjostedt,male,0,0,13.5
232,1,3,Miss. Lillian Gertrud Asplund,female,4,2,31.3875
233,0,2,Mr. Robert William Norman Leyson,male,0,0,10.5
234,0,3,Miss. Alice Phoebe Harknett,female,0,0,7.55
235,0,2,Mr. Stephen Hold,male,1,0,26.0
236,1,2,Miss. Marjorie Collyer,female,0,2,26.25
237,0,2,Mr. Frederick William Pengelly,male,0,0,10.5
238,0,2,Mr. George Henry Hunt,male,0,0,12.275
239,0,3,Miss. Thamine Zabour,female,1,0,14.4542
240,1,3,Miss. Katherine Murphy,female,1,0,15.5
241,0,2,Mr. Reginald Charles Coleridge,male,0,0,10.5
242,0,3,Mr. Matti Alexanteri Maenpaa,male,0,0,7.125
243,0,3,Mr. Sleiman Attalah,male,0,0,7.225
244,0,1,Dr. William Edward Minahan,male,2,0,90.0
245,0,3,Miss. Agda Thorilda Viktoria Lindahl,female,0,0,7.775
246,1,2,Mrs. William (Anna) Hamalainen,female,0,2,14.5
247,1,1,Mr. Richard Leonard Beckwith,male,1,1,52.5542
248,0,2,Rev. Ernest Courtenay Carter,male,1,0,26.0
249,0,3,Mr. James George Reed,male,0,0,7.25
250,0,3,Mrs. Wilhelm (Elna Matilda Persson) Strom,female,1,1,10.4625
251,0,1,Mr. William Thomas Stead,male,0,0,26.55
252,0,3,Mr. William Arthur Lobb,male,1,0,16.1
253,0,3,Mrs. Viktor (Helena Wilhelmina) Rosblom,female,0,2,20.2125
254,1,3,Mrs. Darwis (Hanne Youssef Razi) Touma,female,0,2,15.2458
255,1,1,Mrs. Gertrude Maybelle Thorne,female,0,0,79.2
256,1,1,Miss. Gladys Cherry,female,0,0,86.5
257,1,1,Miss. Anna Ward,female,0,0,512.3292
258,1,2,Mrs. (Lutie Davis) Parrish,female,0,1,26.0
259,1,3,Master. Edvin Rojj Felix Asplund,male,4,2,31.3875
260,0,1,Mr. Emil Taussig,male,1,1,79.65
261,0,1,Mr. William Harrison,male,0,0,0.0
262,0,3,Miss. Delia Henry,female,0,0,7.75
263,0,2,Mr. David Reeves,male,0,0,10.5
264,0,3,Mr. Ernesti Arvid Panula,male,4,1,39.6875
265,1,3,Mr. Ernst Ulrik Persson,male,1,0,7.775
266,1,1,Mrs. William Thompson (Edith Junkins) Graham,female,0,1,153.4625
267,1,1,Miss. Amelia Bissette,female,0,0,135.6333
268,0,1,Mr. Alexander Cairns,male,0,0,31.0
269,1,3,Mr. William Henry Tornquist,male,0,0,0.0
270,1,2,Mrs. (Elizabeth Anne Maidment) Mellinger,female,0,1,19.5
271,0,1,Mr. Charles H Natsch,male,0,1,29.7
272,1,3,Miss. Hanora Healy,female,0,0,7.75
273,1,1,Miss. Kornelia Theodosia Andrews,female,1,0,77.9583
274,0,3,Miss. Augusta Charlotta Lindblom,female,0,0,7.75
275,0,2,Mr. Francis Parkes,male,0,0,0.0
276,0,3,Master. Eric Rice,male,4,1,29.125
277,1,3,Mrs. Stanton (Rosa Hunt) Abbott,female,1,1,20.25
278,0,3,Mr. Frank Duane,male,0,0,7.75
279,0,3,Mr. Nils Johan Goransson Olsson,male,0,0,7.8542
280,0,3,Mr. Alfons de Pelsmaeker,male,0,0,9.5
281,1,3,Mr. Edward Arthur Dorking,male,0,0,8.05
282,0,1,Mr. Richard William Smith,male,0,0,26.0
283,0,3,Mr. Ivan Stankovic,male,0,0,8.6625
284,1,3,Mr. Theodore de Mulder,male,0,0,9.5
285,0,3,Mr. Penko Naidenoff,male,0,0,7.8958
286,1,2,Mr. Masabumi Hosono,male,0,0,13.0
287,1,3,Miss. Kate Connolly,female,0,0,7.75
288,1,1,Miss. Ellen Barber,female,0,0,78.85
289,1,1,Mrs. Dickinson H (Helen Walton) Bishop,female,1,0,91.0792
290,0,2,Mr. Rene Jacques Levy,male,0,0,12.875
291,0,3,Miss. Aloisia Haas,female,0,0,8.85
292,0,3,Mr. Ivan Mineff,male,0,0,7.8958
293,0,1,Mr. Ervin G Lewy,male,0,0,27.7208
294,0,3,Mr. Mansour Hanna,male,0,0,7.2292
295,0,1,Miss. Helen Loraine Allison,female,1,2,151.55
296,1,1,Mr. Adolphe Saalfeld,male,0,0,30.5
297,1,1,Mrs. James (Helene DeLaudeniere Chaput) Baxter,female,0,1,247.5208
298,1,3,Miss. Anna Katherine Kelly,female,0,0,7.75
299,1,3,Mr. Bernard McCoy,male,2,0,23.25
300,0,3,Mr. William Cahoone Jr Johnson,male,0,0,0.0
301,1,2,Miss. Nora A Keane,female,0,0,12.35
302,0,3,Mr. Howard Hugh Williams,male,0,0,8.05
303,1,1,Master. Hudson Trevor Allison,male,1,2,151.55
304,1,1,Miss. Margaret Fleming,female,0,0,110.8833
305,1,1,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,1,0,108.9
306,0,2,Mr. Samuel Abelson,male,1,0,24.0
307,1,1,Miss. Laura Mabel Francatelli,female,0,0,56.9292
308,1,1,Miss. Margaret Bechstein Hays,female,0,0,83.1583
309,1,1,Miss. Emily Borie Ryerson,female,2,2,262.375
310,0,2,Mrs. William (Anna Sylfven) Lahtinen,female,1,1,26.0
311,0,3,Mr. Ignjac Hendekovic,male,0,0,7.8958
312,0,2,Mr. Benjamin Hart,male,1,1,26.25
313,1,3,Miss. Helmina Josefina Nilsson,female,0,0,7.8542
314,1,2,Mrs. Sinai (Miriam Sternin) Kantor,female,1,0,26.0
315,0,2,Dr. Ernest Moraweck,male,0,0,14.0
316,1,1,Miss. Mary Natalie Wick,female,0,2,164.8667
317,1,1,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,female,1,1,134.5
318,0,3,Mr. Samuel Dennis,male,0,0,7.25
319,0,3,Mr. Yoto Danoff,male,0,0,7.8958
320,1,2,Miss. Hilda Mary Slayter,female,0,0,12.35
321,1,2,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,female,1,1,29.0
322,0,3,Mr. George John Jr Sage,male,8,2,69.55
323,1,1,Miss. Marie Grice Young,female,0,0,135.6333
324,0,3,Mr. Johan Hansen Nysveen,male,0,0,6.2375
325,1,2,Mrs. (Ada E Hall) Ball,female,0,0,13.0
326,1,3,Mrs. Frank John (Emily Alice Brown) Goldsmith,female,1,1,20.525
327,1,1,Miss. Jean Gertrude Hippach,female,0,1,57.9792
328,1,3,Miss. Agnes McCoy,female,2,0,23.25
329,0,1,Mr. Austen Partner,male,0,0,28.5
330,0,1,Mr. George Edward Graham,male,0,1,153.4625
331,0,3,Mr. Leo Edmondus Vander Planke,male,2,0,18.0
332,1,1,Mrs. Henry William (Clara Heinsheimer) Frauenthal,female,1,0,133.65
333,0,3,Mr. Mitto Denkoff,male,0,0,7.8958
334,0,1,Mr. Thomas Clinton Pears,male,1,0,66.6
335,1,1,Miss. Elizabeth Margaret Burns,female,0,0,134.5
336,1,3,Mr. Karl Edwart Dahl,male,0,0,8.05
337,0,1,Mr. Stephen Weart Blackwell,male,0,0,35.5
338,1,2,Master. Edmond Roger Navratil,male,1,1,26.0
339,1,1,Miss. Alice Elizabeth Fortune,female,3,2,263.0
340,0,2,Mr. Erik Gustaf Collander,male,0,0,13.0
341,0,2,Mr. Charles Frederick Waddington Sedgwick,male,0,0,13.0
342,0,2,Mr. Stanley Hubert Fox,male,0,0,13.0
343,1,2,Miss. Amelia Brown,female,0,0,13.0
344,1,2,Miss. Marion Elsie Smith,female,0,0,13.0
345,1,3,Mrs. Thomas Henry (Mary E Finck) Davison,female,1,0,16.1
346,1,3,Master. William Loch Coutts,male,1,1,15.9
347,0,3,Mr. Jovan Dimic,male,0,0,8.6625
348,0,3,Mr. Nils Martin Odahl,male,0,0,9.225
349,0,1,Mr. Fletcher Fellows Williams-Lambert,male,0,0,35.0
350,0,3,Mr. Tannous Elias,male,1,1,7.2292
351,0,3,Mr. Josef Arnold-Franchi,male,1,0,17.8
352,0,3,Mr. Wazli Yousif,male,0,0,7.225
353,0,3,Mr. Leo Peter Vanden Steen,male,0,0,9.5
354,1,1,Miss. Elsie Edith Bowerman,female,0,1,55.0
355,0,2,Miss. Annie Clemmer Funk,female,0,0,13.0
356,1,3,Miss. Mary McGovern,female,0,0,7.8792
357,1,3,Miss. Helen Mary Mockler,female,0,0,7.8792
358,0,3,Mr. Wilhelm Skoog,male,1,4,27.9
359,0,2,Mr. Sebastiano del Carlo,male,1,0,27.7208
360,0,3,Mrs. (Catherine David) Barbara,female,0,1,14.4542
361,0,3,Mr. Adola Asim,male,0,0,7.05
362,0,3,Mr. Thomas O'Brien,male,1,0,15.5
363,0,3,Mr. Mauritz Nils Martin Adahl,male,0,0,7.25
364,1,1,Mrs. Frank Manley (Anna Sophia Atkinson) Warren,female,1,0,75.25
365,1,3,Mrs. (Mantoura Boulos) Moussa,female,0,0,7.2292
366,1,3,Miss. Annie Jermyn,female,0,0,7.75
367,1,1,Mme. Leontine Pauline Aubart,female,0,0,69.3
368,1,1,Mr. George Achilles Harder,male,1,0,55.4417
369,0,3,Mr. Jakob Alfred Wiklund,male,1,0,6.4958
370,0,3,Mr. William Thomas Beavan,male,0,0,8.05
371,0,1,Mr. Sante Ringhini,male,0,0,135.6333
372,0,3,Miss. Stina Viola Palsson,female,3,1,21.075
373,1,1,Mrs. Edgar Joseph (Leila Saks) Meyer,female,1,0,82.1708
374,1,3,Miss. Aurora Adelia Landergren,female,0,0,7.25
375,0,1,Mr. Harry Elkins Widener,male,0,2,211.5
376,0,3,Mr. Tannous Betros,male,0,0,4.0125
377,0,3,Mr. Karl Gideon Gustafsson,male,0,0,7.775
378,1,1,Miss. Rosalie Bidois,female,0,0,227.525
379,1,3,Miss. Maria Nakid,female,0,2,15.7417
380,0,3,Mr. Juho Tikkanen,male,0,0,7.925
381,1,1,Mrs. Alexander Oskar (Mary Aline Towner) Holverson,female,1,0,52.0
382,0,3,Mr. Vasil Plotcharsky,male,0,0,7.8958
383,0,2,Mr. Charles Henry Davies,male,0,0,73.5
384,0,3,Master. Sidney Leonard Goodwin,male,5,2,46.9
385,1,2,Miss. Kate Buss,female,0,0,13.0
386,0,3,Mr. Matthew Sadlier,male,0,0,7.7292
387,1,2,Miss. Bertha Lehmann,female,0,0,12.0
388,1,1,Mr. William Ernest Carter,male,1,2,120.0
389,1,3,Mr. Carl Olof Jansson,male,0,0,7.7958
390,0,3,Mr. Johan Birger Gustafsson,male,2,0,7.925
391,1,1,Miss. Marjorie Newell,female,1,0,113.275
392,1,3,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,0,2,16.7
393,0,3,Mr. Erik Johansson,male,0,0,7.7958
394,0,3,Miss. Elina Olsson,female,0,0,7.8542
395,0,2,Mr. Peter David McKane,male,0,0,26.0
396,0,2,Dr. Alfred Pain,male,0,0,10.5
397,1,2,Mrs. William H (Jessie L) Trout,female,0,0,12.65
398,1,3,Mr. Juha Niskanen,male,0,0,7.925
399,0,3,Mr. John Adams,male,0,0,8.05
400,0,3,Miss. Mari Aina Jussila,female,1,0,9.825
401,0,3,Mr. Pekka Pietari Hakkarainen,male,1,0,15.85
402,0,3,Miss. Marija Oreskovic,female,0,0,8.6625
403,0,2,Mr. Shadrach Gale,male,1,0,21.0
404,0,3,Mr. Carl/Charles Peter Widegren,male,0,0,7.75
405,1,2,Master. William Rowe Richards,male,1,1,18.75
406,0,3,Mr. Hans Martin Monsen Birkeland,male,0,0,7.775
407,0,3,Miss. Ida Lefebre,female,3,1,25.4667
408,0,3,Mr. Todor Sdycoff,male,0,0,7.8958
409,0,3,Mr. Henry Hart,male,0,0,6.8583
410,1,1,Miss. Daisy E Minahan,female,1,0,90.0
411,0,2,Mr. Alfred Fleming Cunningham,male,0,0,0.0
412,1,3,Mr. Johan Julian Sundman,male,0,0,7.925
413,0,3,Mrs. Thomas (Annie Louise Rowley) Meek,female,0,0,8.05
414,1,2,Mrs. James Vivian (Lulu Thorne Christian) Drew,female,1,1,32.5
415,1,2,Miss. Lyyli Karoliina Silven,female,0,2,13.0
416,0,2,Mr. William John Matthews,male,0,0,13.0
417,0,3,Miss. Catharina Van Impe,female,0,2,24.15
418,0,3,Mr. David Charters,male,0,0,7.7333
419,0,3,Mr. Leo Zimmerman,male,0,0,7.875
420,0,3,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,female,1,1,14.4
421,0,3,Mr. Viktor Richard Rosblom,male,1,1,20.2125
422,0,3,Mr. Phillippe Wiseman,male,0,0,7.25
423,1,2,Mrs. Charles V (Ada Maria Winfield) Clarke,female,1,0,26.0
424,1,2,Miss. Kate Florence Phillips,female,0,0,26.0
425,0,3,Mr. James Flynn,male,0,0,7.75
